,FAN_ACTUAL
10393,5.4
17177,2.080000000000001
13785,6.8000000000000025
7576,0.30000000000000004
9320,14.2
20174,9.3
6706,12.34
483,46.42
3846,8.2
17753,22.2
1315,15.0
19022,10.9
18098,22.56
4941,0.0
6599,1.0
22202,9.8
14431,26.36
10907,0.9
15829,0.6000000000000001
1576,15.2
13267,2.6
11923,3.6000000000000005
10918,3.0
11282,14.8
7277,1.2000000000000002
19145,5.300000000000002
5502,0.5
8790,2.0
16000,-0.3800000000000001
10287,0.0
9525,15.66
1989,3.1
13044,15.7
9538,5.1000000000000005
18801,8.9
8753,9.3
7101,7.000000000000001
21737,16.200000000000006
11269,0.30000000000000004
121,9.8
2609,5.5
16141,12.4
21468,2.0
2802,12.1
21803,4.2
953,0.5
6108,2.5
8715,1.8
1330,14.6
13361,0.1
17682,31.9
19557,1.2000000000000002
4744,17.0
13114,12.0
1270,3.7
10010,9.7
4852,1.6
1691,0.30000000000000004
20796,1.2000000000000002
12529,22.04000000000001
22030,2.6
12419,30.0
9842,14.1
8523,2.8000000000000003
2974,-0.5
14074,8.52
6715,3.9
6510,2.3000000000000003
5708,21.3
18495,0.7000000000000001
4741,-2.0
9246,13.54
1208,43.90000000000001
6797,2.1
14101,2.4000000000000004
7558,8.200000000000001
10463,2.2
17572,1.6
14874,1.3
18145,0.9
1090,-1.5
3120,7.6
13148,5.9
19620,10.3
21854,6.56
1533,3.4000000000000004
17877,21.8
1411,0.2
18570,0.6000000000000001
20436,5.1000000000000005
12856,3.1
2614,2.8000000000000003
2636,1.2000000000000002
7159,2.3000000000000003
12365,0.8
2664,13.1
11327,12.3
5438,9.8
12617,32.54
5553,1.6
8816,6.6000000000000005
11388,7.400000000000001
15431,1.2000000000000002
17817,1.9
20738,2.0
16728,6.4
13214,1.1
6242,3.5
4896,2.8000000000000003
15469,1.1
19550,3.8
8822,1.2200000000000006
15383,4.0
7735,4.7
6846,20.0
4206,6.4
16361,8.1
6871,15.919999999999998
1767,16.2
8233,10.2
11191,1.0
12542,5.5
13906,21.9
18622,5.200000000000001
13106,4.4
10722,0.0
18586,6.8000000000000025
5250,11.5
9653,31.72
6224,6.3400000000000025
20043,9.5
7097,8.200000000000001
13984,1.4
8008,0.8
12443,13.3
