,FAN_AVG,PASSCOMP_AVG,PASSYDS_300_AVG,RUSHATT_AVG,RUSHTD_AVG,FUMLST_AVG,TGTS_AVG,RECTD_AVG,WIN/TIE_AVG,OPP_PTS_AGT_AVG,HOME,DOME,GRASS,SUNDAY,POS_TE,POS_WR,MONTH_September,TIME_Night,TIME_Noon
463,-0.5631802039389665,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,0.2974819710441404,-0.6659111648317544,1.7312630454085713,-0.9543062326728015,0,1,0,0,0,1,0,0,0
464,3.562982395398448,2.6483536958323604,1.9915912834364087,0.02054205939900562,-0.40580504998557293,-0.4048479914008634,-1.2468602949851162,-0.6659111648317544,0.8590319678343993,-1.1829321820489136,1,1,0,1,0,0,0,0,1
465,0.803555392656973,-0.358457760843776,-0.2419553724533389,2.6985990590445765,3.023620575801774,-0.4048479914008634,-0.21729878429894514,-0.6659111648317544,-0.013199109739772646,-0.6342299035462445,1,0,0,0,0,0,0,1,0
466,-0.1657318702107718,-0.358457760843776,-0.2419553724533389,0.47530645556523465,-0.40580504998557293,-0.4048479914008634,0.8980595189444069,-0.6659111648317544,-0.013199109739772646,-0.40560395417013234,1,0,0,1,0,0,0,0,1
467,-1.155297109289136,-0.358457760843776,-0.2419553724533389,-0.4342223367672234,-0.40580504998557293,1.391898824409623,-0.9894699173135735,-0.6659111648317544,0.8590319678343993,0.23454870408298165,0,0,1,1,0,0,1,0,1
468,1.4483950361547606,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,2.4424017849736637,4.1116731207173345,0.8590319678343993,-1.0914818022984687,0,0,1,1,0,1,0,0,0
469,1.8174542031880854,2.6483536958323604,1.9915912834364087,0.12160081410261207,-0.40580504998557293,3.188645640220109,-1.2468602949851162,-0.6659111648317544,-0.013199109739772646,1.0118769319617629,0,0,1,1,0,0,0,0,1
470,-0.8795166328246737,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,1.391898824409623,-0.13150199174176422,-0.6659111648317544,0.8590319678343993,0.6460754129599835,1,0,1,1,0,1,0,0,1
471,0.5399417019188831,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,2.785588955202387,0.2896056922780635,-0.8854301873139446,-0.1769780047940202,1,1,0,1,0,1,0,0,1
472,0.7386658687829831,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,1.2412466891731306,2.200639406497699,-1.7576612648881167,-1.228657371924136,0,1,0,1,1,0,0,0,1
473,-0.3036221084430013,-0.358457760843776,-0.2419553724533389,2.0417171534711347,0.7373368252768759,-0.4048479914008634,-0.6462827470848498,-0.6659111648317544,-0.013199109739772646,-0.4513291440453548,1,0,1,1,0,0,0,0,1
474,0.00865872520058148,-0.358457760843776,-0.2419553724533389,-0.5352810914708298,-0.40580504998557293,1.391898824409623,1.6702306519590353,0.2896056922780635,0.8590319678343993,-0.5885047136710221,0,0,1,1,0,1,0,0,0
475,-0.33201127513787304,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,1.2412466891731306,-0.6659111648317544,0.8590319678343993,0.9661517420865405,1,0,1,1,1,0,0,0,1
476,-0.4780127038543532,-0.358457760843776,-0.2419553724533389,0.5763652102688411,0.7373368252768759,-0.4048479914008634,0.040091593372597635,-0.6659111648317544,-0.8854301873139446,1.560579210464432,0,0,1,1,0,0,0,0,1
477,0.05732586810607414,-0.358457760843776,-0.2419553724533389,1.940658398767528,0.7373368252768759,-0.4048479914008634,-0.388892369413307,-0.6659111648317544,-1.7576612648881167,0.6460754129599835,1,0,1,1,0,0,0,0,0
478,-1.1593527045312608,0.22116854405764788,-0.2419553724533389,-0.4847517141190266,-0.40580504998557293,-0.4048479914008634,-1.2468602949851162,-0.6659111648317544,-1.7576612648881167,-1.3658329415498034,1,0,1,1,0,0,0,0,1
479,1.026613130973818,2.5759004077196823,-0.2419553724533389,-0.33316358206361696,-0.40580504998557293,-0.4048479914008634,-1.2468602949851162,-0.6659111648317544,1.7312630454085713,0.3717242737086489,0,0,1,0,0,0,0,1,0
480,-0.810571513708558,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,-0.6462827470848498,0.2896056922780635,-0.8854301873139446,-0.13125281491879778,1,1,1,1,0,1,0,0,0
